epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2492.19,0.8177,0.35152,1.00281,0.9818,0.99693,0.99331,0.74571,0.995,0.44901,1.07295,0.0014588,0.0014588,0.0014588
43,2571.16,0.82678,0.36426,1.01984,0.97226,0.98821,0.99162,0.73018,1.05095,0.48246,1.13563,0.0014456,0.0014456,0.0014456
44,2650.62,0.80803,0.35552,0.99993,0.97351,0.9863,0.99244,0.73763,0.98745,0.50942,1.07362,0.0014324,0.0014324,0.0014324
45,2729.82,0.80016,0.35283,0.99186,0.99023,0.99076,0.99423,0.75812,1.00542,0.45397,1.09317,0.0014192,0.0014192,0.0014192
46,2802.85,0.79186,0.34688,0.99345,0.98169,0.98207,0.99144,0.73481,1.0378,0.4552,1.10698,0.001406,0.001406,0.001406
47,2882.71,0.79884,0.34437,1.00298,0.98097,0.98965,0.99209,0.75067,0.96408,0.43049,1.07173,0.0013928,0.0013928,0.0013928
48,2962.46,0.79967,0.34762,0.99834,0.97948,0.981,0.99274,0.74304,1.00576,0.45707,1.09369,0.0013796,0.0013796,0.0013796
49,3035.09,0.79369,0.3427,0.99526,0.98344,0.97961,0.99318,0.75003,0.97508,0.45458,1.07722,0.0013664,0.0013664,0.0013664
50,3114.91,0.79159,0.34939,0.99238,0.98923,0.99841,0.99368,0.73748,1.02166,0.44766,1.09169,0.0013532,0.0013532,0.0013532
51,3194.31,0.81868,0.3603,1.00579,0.98544,0.99076,0.99375,0.71247,1.09009,0.46032,1.12051,0.00134,0.00134,0.00134
52,3274.92,0.80607,0.3461,1.00402,0.98533,0.98949,0.99375,0.75978,0.97322,0.41975,1.07281,0.0013268,0.0013268,0.0013268
53,3354.74,0.78575,0.33906,0.98976,0.97958,0.98592,0.99324,0.73536,1.04836,0.46208,1.10713,0.0013136,0.0013136,0.0013136
54,3434.25,0.77325,0.33396,0.98538,0.98748,0.99254,0.99421,0.75508,0.99609,0.42001,1.07844,0.0013004,0.0013004,0.0013004
55,3513.76,0.7686,0.32804,0.98109,0.97722,0.98232,0.99265,0.72107,1.06426,0.47376,1.11709,0.0012872,0.0012872,0.0012872
56,3577.4,0.79588,0.33785,0.99142,0.98713,0.98885,0.99374,0.72,1.08988,0.43194,1.12076,0.001274,0.001274,0.001274
